userId,movieId,rating,item
3,1.0,4.0,236
3,24.0,3.0,237
3,32.0,4.0,238
3,50.0,5.0,239
3,160.0,3.0,240
3,173.0,2.0,241
3,175.0,5.0,242
3,196.0,3.0,243
3,223.0,5.0,244
3,260.0,5.0,245
3,316.0,5.0,246
3,318.0,5.0,247
3,329.0,5.0,248
3,337.0,3.0,249
3,440.0,3.0,250
3,442.0,3.0,251
3,457.0,5.0,252
3,480.0,5.0,253
3,490.0,5.0,254
3,512.0,2.0,255
3,541.0,5.0,256
3,589.0,4.0,257
3,593.0,5.0,258
3,610.0,4.0,259
3,718.0,3.0,260
3,780.0,3.0,261
3,788.0,4.0,262
3,858.0,5.0,263
3,904.0,5.0,264
3,905.0,3.0,265
3,919.0,4.0,266
3,924.0,5.0,267
3,953.0,5.0,268
3,968.0,3.0,269
3,1037.0,3.0,270
3,1060.0,5.0,271
3,1073.0,5.0,272
3,1077.0,4.0,273
3,1079.0,4.0,274
3,1084.0,5.0,275
3,1089.0,5.0,276
3,1094.0,4.0,277
3,1097.0,5.0,278
3,1103.0,4.0,279
3,1125.0,4.0,280
3,1127.0,3.0,281
3,1129.0,5.0,282
3,1179.0,3.0,283
3,1188.0,2.0,284
3,1193.0,4.0,285
3,1196.0,5.0,286
3,1197.0,5.0,287
3,1198.0,5.0,288
3,1199.0,4.0,289
3,1200.0,4.0,290
3,1206.0,5.0,291
3,1208.0,5.0,292
3,1210.0,5.0,293
3,1213.0,5.0,294
3,1214.0,5.0,295
3,1215.0,4.0,296
3,1219.0,4.0,297
3,1220.0,5.0,298
3,1221.0,5.0,299
3,1222.0,5.0,300
3,1225.0,3.0,301
3,1228.0,3.0,302
3,1230.0,5.0,303
3,1240.0,5.0,304
3,1242.0,5.0,305
3,1247.0,5.0,306
3,1257.0,5.0,307
3,1258.0,5.0,308
3,1259.0,5.0,309
3,1261.0,5.0,310
3,1266.0,5.0,311
3,1270.0,5.0,312
3,1272.0,4.0,313
3,1276.0,5.0,314
3,1278.0,5.0,315
3,1288.0,2.0,316
3,1304.0,5.0,317
3,1307.0,4.0,318
3,1321.0,5.0,319
3,1330.0,3.0,320
3,1333.0,4.0,321
3,1345.0,4.0,322
3,1356.0,5.0,323
3,1372.0,3.0,324
3,1373.0,4.0,325
3,1374.0,5.0,326
3,1375.0,5.0,327
3,1376.0,4.0,328
3,1396.0,3.0,329
3,1544.0,4.0,330
3,1584.0,4.0,331
3,1603.0,4.0,332
3,1653.0,4.0,333
3,1674.0,4.0,334
3,1676.0,5.0,335
3,1721.0,4.0,336
3,1762.0,4.0,337
3,1779.0,3.0,338
3,1810.0,3.0,339
3,1831.0,5.0,340
3,1876.0,4.0,341
3,1882.0,4.0,342
3,1909.0,5.0,343
3,1917.0,4.0,344
3,1921.0,4.0,345
3,2009.0,5.0,346
3,2011.0,3.0,347
3,2012.0,3.0,348
3,2018.0,4.0,349
3,2028.0,4.0,350
3,2034.0,4.0,351
3,2046.0,5.0,352
3,2053.0,3.0,353
3,2054.0,4.0,354
3,2076.0,5.0,355
3,2093.0,5.0,356
3,2105.0,4.0,357
3,2117.0,5.0,358
3,2118.0,5.0,359
3,2140.0,4.0,360
3,2150.0,5.0,361
3,2236.0,4.0,362
3,2288.0,5.0,363
3,2311.0,4.0,364
3,2329.0,4.0,365
3,2366.0,4.0,366
3,2371.0,4.0,367
3,2391.0,5.0,368
3,2407.0,4.0,369
3,2428.0,4.0,370
3,2448.0,5.0,371
3,2455.0,4.0,372
3,2505.0,4.0,373
3,2528.0,4.0,374
3,2529.0,5.0,375
3,2530.0,4.0,376
3,2531.0,3.0,377
3,2532.0,4.0,378
3,2533.0,3.0,379
3,2541.0,1.0,380
3,2551.0,4.0,381
3,2567.0,3.0,382
3,2571.0,5.0,383
3,2574.0,3.0,384
3,2613.0,4.0,385
3,2615.0,4.0,386
3,2628.0,5.0,387
3,2640.0,4.0,388
3,2642.0,3.0,389
3,2643.0,1.0,390
3,2657.0,3.0,391
3,2662.0,3.0,392
3,2668.0,4.0,393
3,2676.0,1.0,394
3,2694.0,4.0,395
3,2699.0,3.0,396
3,2710.0,5.0,397
3,2722.0,4.0,398
3,2750.0,4.0,399
3,2788.0,5.0,400
3,2791.0,5.0,401
3,2797.0,4.0,402
3,2808.0,4.0,403
3,2857.0,3.0,404
3,2872.0,5.0,405
3,2900.0,3.0,406
3,2901.0,3.0,407
3,2916.0,4.0,408
3,2918.0,5.0,409
3,2947.0,4.0,410
3,2948.0,4.0,411
3,2949.0,4.0,412
3,2968.0,5.0,413
3,2985.0,5.0,414
3,2986.0,2.0,415
3,3033.0,5.0,416
3,3039.0,5.0,417
3,3070.0,4.0,418
3,3072.0,4.0,419
3,3098.0,4.0,420
3,3142.0,4.0,421
3,5060.0,5.0,422
